public_date,AERO,AGRIC,AUTOS,BANKS,BEER,BLDMT,BOOKS,BOXES,BUSSV,CHEMS,CHIPS,CLTHS,CNSTR,COAL,DRUGS,ELCEQ,FABPR,FIN,FOOD,FUN,GOLD,GUNS,HARDW,HLTH,HSHLD,INSUR,LABEQ,MACH,MEALS,MEDEQ,MINES,OIL,OTHER,PAPER,PERSV,RLEST,RTAIL,RUBBR,SHIPS,SMOKE,SODA,SOFTW,STEEL,TELCM,TOYS,TRANS,TXTLS,UTIL,WHLSL
1978-07-31,0.040793,0.090781,0.021765,0.051048,0.009460,0.074329,0.087809,0.054361,0.063040,0.038883,0.039745,0.085505,0.086996,0.104502,0.003488,0.053184,0.107457,0.080114,0.028184,0.174211,0.000281,0.059933,0.053737,0.068130,0.027051,0.058911,0.031660,0.047842,0.089241,0.072118,0.047833,0.049092,0.085557,0.061691,0.078333,0.093200,0.056255,0.036598,0.105163,-0.007792,0.052152,0.053838,0.024642,0.031666,0.118719,0.051353,0.070680,0.005193,0.072737
1978-08-31,-0.064844,0.004671,0.010022,-0.004535,-0.028780,-0.024139,-0.027368,-0.009207,-0.023146,0.011716,-0.033864,0.004899,0.022083,-0.025255,-0.029225,-0.027584,0.041877,-0.026683,0.005222,-0.008624,0.043641,-0.039894,-0.047802,-0.004104,-0.023558,-0.025358,-0.023744,-0.014598,-0.042429,-0.040001,0.033482,0.042586,-0.018945,-0.032772,-0.018207,-0.008611,-0.026462,-0.036368,-0.004055,0.008475,-0.007017,-0.052310,0.018981,0.011136,-0.040607,-0.025688,0.003130,-0.002324,-0.016704
1978-09-30,-0.136342,-0.178593,-0.095606,-0.103065,-0.107432,-0.156619,-0.128069,-0.113725,-0.171142,-0.098468,-0.168792,-0.164135,-0.222333,-0.147588,-0.109211,-0.147637,-0.295323,-0.170444,-0.101480,-0.227986,-0.089426,-0.188162,-0.115200,-0.242471,-0.100121,-0.127752,-0.133076,-0.134725,-0.223444,-0.175494,-0.112256,-0.106928,-0.172324,-0.083717,-0.195163,-0.246011,-0.129775,-0.161850,-0.146683,-0.063889,-0.100706,-0.059214,-0.135624,-0.061553,-0.251373,-0.154139,-0.184882,-0.075731,-0.165937
1978-10-31,0.085881,0.055366,0.004811,-0.002300,0.046291,0.009565,0.015475,-0.013446,0.054549,0.022002,0.046455,0.065004,0.017596,0.017223,0.046270,0.048522,0.100576,0.044107,0.000978,0.094982,-0.065125,0.038803,0.073429,0.134952,0.034720,0.041367,0.074561,0.039702,0.050328,0.021936,-0.019058,0.058200,0.035373,0.019987,0.039764,0.028261,0.021980,0.034228,-0.029864,0.028338,0.036975,0.033152,0.039354,0.035713,0.109686,0.014783,0.054837,0.034365,0.033469
1978-11-30,0.022761,0.036421,-0.004749,0.009831,0.009023,0.003294,0.031346,0.002922,0.010922,0.004374,0.003517,0.006390,0.007214,-0.017369,0.036013,0.015213,0.009190,0.017353,0.012041,0.017843,0.046319,0.036450,0.026046,0.123849,0.008911,0.023906,0.062345,0.023014,-0.012676,0.034252,-0.014836,0.028122,0.048437,0.012174,0.055038,0.050034,-0.015185,0.023100,-0.018821,0.024809,0.050708,0.096448,0.020608,-0.000229,-0.014956,-0.006769,-0.019205,-0.012526,0.018205
1978-12-31,0.068703,-0.007943,0.050170,0.040975,0.030011,0.102542,0.081976,0.064320,0.052934,0.066363,0.072170,0.116323,0.100891,0.093573,0.013044,0.061658,0.132120,0.112732,0.044497,0.108044,0.097565,0.077168,0.043935,-0.012860,0.019950,0.056072,0.028564,0.063183,0.029531,0.072834,0.131940,0.030244,0.092679,0.066968,0.075956,0.064540,0.063818,0.057455,0.024624,-0.022643,0.011132,0.033132,0.123855,0.040769,0.066912,0.046221,0.071727,0.069014,0.074566
1979-01-31,-0.108409,-0.060964,-0.032508,-0.042850,-0.036520,-0.038476,-0.031380,-0.034230,-0.056856,-0.023467,-0.067701,-0.029185,-0.025185,0.013994,-0.048688,-0.035274,-0.065393,-0.016215,-0.042453,0.012248,0.042857,-0.037490,-0.040172,-0.048246,-0.065859,-0.042947,-0.063052,-0.029678,-0.089448,-0.044667,0.010268,0.004428,-0.031255,-0.032668,-0.088743,0.020690,-0.043434,-0.040554,0.006238,-0.029865,-0.040732,-0.023519,-0.035485,-0.011319,-0.054396,-0.036264,-0.018059,-0.017209,-0.028756
1979-02-28,0.073232,0.055353,0.068100,0.059679,0.058098,0.086742,0.036220,0.071245,0.065244,0.094968,0.103290,0.107420,0.153552,0.141876,0.053536,0.072524,0.055779,0.143121,0.028341,0.085566,0.061264,0.025968,0.091828,0.133848,0.016662,0.098563,0.069802,0.069355,0.073944,0.085696,0.080177,0.092588,0.065310,0.065535,0.088593,0.150681,0.061744,0.088694,0.131826,0.028653,0.013172,0.060485,0.109490,0.007629,0.094793,0.083235,0.088040,0.021912,0.080867
1979-03-31,0.001746,0.056297,0.022681,0.016546,0.006284,0.008443,0.021772,-0.003614,0.018965,-0.013304,0.026266,-0.005285,0.000264,-0.066129,0.004357,0.016815,0.049867,-0.008395,-0.004147,0.059878,-0.021066,0.047735,-0.000452,-0.032283,0.010860,-0.001735,0.000837,-0.008524,0.072430,0.014593,0.018493,0.044464,0.025881,-0.013599,0.040941,0.043761,0.007193,0.050864,0.068208,-0.003001,-0.024483,-0.002626,-0.010150,-0.023738,0.012576,0.016231,0.018402,-0.030086,0.013808
1979-04-30,-0.044706,0.008669,-0.010749,0.002923,-0.031800,-0.018326,-0.032110,-0.010664,-0.032883,-0.022875,-0.001127,0.003822,-0.018492,0.069000,-0.034805,0.011008,-0.000869,-0.000578,-0.016090,-0.017024,0.056467,-0.029212,-0.046842,-0.042583,-0.026272,-0.007225,-0.006636,-0.004547,-0.035549,0.008373,-0.019149,-0.024457,-0.001961,-0.008091,-0.024566,0.009381,-0.027919,-0.014635,0.026793,-0.061992,-0.001989,-0.024726,-0.027678,-0.001820,-0.038907,0.014367,-0.026575,0.014330,-0.006991
1979-05-31,0.032477,0.068034,0.031045,0.079579,0.055435,0.033338,0.018114,0.016897,0.054250,0.022834,0.068022,0.008219,0.121082,0.156801,0.045158,0.062153,0.056447,0.090216,0.035456,0.066894,0.053067,0.045756,0.010868,0.073648,0.005703,0.104110,0.058686,0.054874,0.020879,0.070782,0.037015,0.093405,0.063549,0.010116,0.040507,0.103993,0.021407,0.067009,0.096056,0.099094,-0.007071,-0.026194,0.059086,0.021190,-0.002151,0.033522,0.047998,0.051411,0.030480
1979-06-30,0.050571,0.044361,-0.002824,0.032200,0.022756,0.035962,0.046587,0.023481,0.063880,0.043909,0.017352,0.048847,0.040477,-0.011929,-0.001532,0.031691,0.085497,0.017876,0.010145,0.040814,-0.024301,-0.000038,-0.018342,0.076331,0.000087,0.017810,0.002083,0.026020,0.032175,0.002625,0.027963,0.018844,-0.005218,-0.020107,0.019228,-0.042558,0.008265,0.043893,0.106384,0.017032,0.010933,-0.042379,0.021606,0.010950,0.074916,0.061759,0.044723,0.021694,0.015127
1979-07-31,0.128356,0.049943,0.049597,0.055960,0.087879,0.107582,0.092092,0.077851,0.065394,0.073600,0.094859,0.092354,0.077432,0.052885,0.080898,0.052274,0.065186,0.100515,0.080032,0.023916,0.138452,0.117027,0.103092,0.102964,0.076867,0.047329,0.088049,0.070763,0.093968,0.099524,0.087672,0.075949,0.072944,0.070659,0.092089,0.086109,0.093217,0.041363,0.090826,0.087298,0.033140,0.028927,0.076000,0.017428,0.046773,0.049314,0.035961,0.018672,0.079395
1979-08-31,0.007381,-0.019355,0.017735,-0.027497,-0.021523,-0.013758,-0.001496,0.008238,0.011044,0.016742,0.035048,-0.008401,0.008067,0.015203,-0.001821,-0.013011,-0.019596,0.047228,-0.010589,-0.025667,0.153179,-0.004381,-0.045362,-0.014528,-0.026818,-0.009012,-0.020137,-0.015545,-0.011809,0.003158,0.064503,0.057858,0.033987,-0.020591,0.012966,-0.033916,-0.021267,0.000633,-0.043091,-0.067360,-0.066351,-0.028572,0.027765,-0.022130,-0.005105,-0.018904,-0.017780,-0.018836,0.009871
1979-09-30,-0.082514,-0.076698,-0.109410,-0.111699,-0.099428,-0.100607,-0.090303,-0.118134,-0.061979,-0.087207,-0.057641,-0.093688,-0.097863,-0.111469,-0.041114,-0.075330,-0.105577,-0.113772,-0.064207,-0.101935,-0.142192,-0.107618,-0.074311,-0.083782,-0.093784,-0.094926,-0.072762,-0.090598,-0.112672,-0.080439,-0.100402,-0.023720,-0.108711,-0.087420,-0.120703,-0.130036,-0.083345,-0.104262,-0.096963,-0.071755,-0.080590,-0.079941,-0.126248,-0.051161,-0.108320,-0.108794,-0.087476,-0.056829,-0.092961
1979-10-31,0.114286,0.077996,-0.032209,0.051881,0.062849,0.029937,0.053611,0.027943,0.089796,0.061119,0.074306,0.114803,0.144029,0.069218,0.093383,0.068091,0.094338,0.066799,0.049528,0.064745,0.129625,0.121466,0.062008,0.192861,0.020198,0.076843,0.071272,0.079446,0.001210,0.069961,0.069235,0.084771,0.112550,0.018847,0.067301,0.095010,0.031829,0.029186,0.208213,0.074997,0.004766,0.071012,0.042473,0.040797,0.078943,0.079577,0.041700,0.076348,0.070336
1979-11-30,0.082821,0.091214,0.009461,0.014821,0.036061,0.053709,0.052324,0.032626,0.048114,0.049222,0.042607,0.065773,0.047599,0.066445,0.017672,0.018978,0.046528,0.127884,0.024099,0.072881,0.337551,0.127307,0.018631,0.079200,0.010170,0.005755,0.058425,0.031499,0.053379,0.035312,0.125038,0.025514,0.088653,0.023826,0.024933,0.102720,0.010541,0.039985,0.091810,0.031788,0.018013,-0.003190,0.093466,-0.003093,0.065900,0.018563,0.061371,-0.006066,0.063624
