public_date,port_me,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
05-31-1976,6,389,0.4459932576,0.0008207665,0.042393721,-0.015058839,0.001344389,0.0001126474,0.0001863042,0.0038365015,0.0659661971,0.0083902797,0.0064777438,0.1244561014,0.0293023566,0.0848891565,0.0000683392,,49101.91174,0.0005604258,1.3353509292,-0.012093039
05-31-1976,7,389,0.4157271589,0.000888804,0.0649808016,0.0019333962,0.0011992491,0.0001139989,0.000181856,0.0033186787,0.0904944907,0.0216144362,0.0039565426,0.1438745285,0.0304433917,0.08145545,0.0000655537,,94612.397587,0.000494537,1.4816604114,0.00142283
05-31-1976,8,389,0.3390347252,0.0010721141,0.0314772893,-0.000474963,0.0010457201,0.0001119743,0.0001844461,0.0025788756,0.0924526127,0.0265830017,0.0054399385,0.1684826123,0.0351355057,0.0676698131,0.0000477484,,244540.52613,0.0003517596,1.2635379406,-0.011189941
05-31-1976,9,389,0.2608616145,0.0005861665,0.0240809331,-0.000415762,0.0007267166,0.0000829444,0.0001637531,0.0015076125,0.0980067265,0.0175691906,0.0044610835,0.3517232649,0.0406609807,0.0569452013,0.0000288879,,8261944.9875,0.0002000013,1.4472483354,-0.006765935
06-30-1976,0,393,0.1596329347,-0.003246672,0.0615235366,,0.0023365189,-0.000121281,-6.017782E-6,0.0092552434,-0.076700873,-0.003555311,-0.016884562,-1.029457832,-0.009474222,0.0530393107,0.0001384559,,1790.556999,0.0017705035,0.8138615888,-0.04364764
06-30-1976,1,393,0.3302213469,0.0026286251,0.1310024431,,0.0020245269,0.000018805,0.0001792121,0.0085775838,0.0217209203,-0.004221626,0.0060349321,-0.627286265,0.0110366542,0.0707074173,0.0001299585,,3698.5342726,0.0012680826,1.1279300534,-0.037105982
06-30-1976,2,393,0.3980397814,0.001583584,0.1112608813,,0.0018308585,0.0000381145,0.000128025,0.0072537178,0.0056095482,0.0000364705,-0.001531027,-0.172456866,0.0151429045,0.0921825466,0.0000947554,,6619.6754236,0.0010679477,1.0452123257,-0.033030154
06-30-1976,3,393,0.3656728678,0.0007715199,0.0951017442,,0.0016813721,0.0001002175,0.0001788732,0.0068977935,0.0535819305,0.0009393391,0.0048929854,-0.603262144,0.0191709911,0.0798080162,0.0001056358,,10742.256914,0.0008821168,1.0290015446,-0.034197017
06-30-1976,4,393,0.4129223023,0.0010861012,0.1182399966,,0.0015991509,0.0000907207,0.0001589008,0.0059498089,0.0305127062,-0.001530006,0.0037467433,-0.414966221,0.0246978476,0.091243737,0.00007692,,17037.682327,0.0007228173,1.1465005423,-0.031165048
06-30-1976,5,393,0.3693505156,0.0012929309,0.094820737,-0.000612966,0.0013592022,0.0001043436,0.0001825343,0.004988406,0.0822779516,0.0085687206,0.0063203318,-0.439312696,0.0288473575,0.0878035535,0.0000882422,,28464.97443,0.0006828617,1.4201098051,-0.014467011
