public_date,port_svar,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
06-30-1976,9,384,0.3532051803,-0.002776291,0.1166347614,,0.0017091537,-0.000014933,0.0001393044,0.0062707301,-0.010444212,0.0049049931,0.0058509235,-0.290423398,0.0104506769,0.095152368,0.0001230067,,37757.20552,0.002878978,1.8402186551,-0.040054709
07-31-1976,0,385,0.1471091976,-0.00043197,0.0236667269,-0.000023383,0.0007361105,0.0000912948,0.0001487918,0.0013355787,0.1020358442,0.0282793874,0.0052147998,0.2206961765,0.0381960668,-0.057186359,0.0000317229,,17449094.192,0.0000769159,1.2299461808,0.0462838668
07-31-1976,1,384,0.1315025021,0.0006761012,0.0775214152,-0.001929234,0.0008139082,0.0000963822,0.0001657417,0.0018250463,0.1083418637,0.0236457332,0.005145086,0.3001157953,0.0380829028,-0.050803059,0.0000409704,,4493252.7441,0.0001315891,1.3883648165,0.0344972463
07-31-1976,2,385,0.1170815162,0.0002094983,0.0343744647,-0.002621648,0.0007043585,0.0000830637,0.0001176464,0.0015804102,0.1320753187,0.0300954715,0.0058541963,0.1493492867,0.0376149488,-0.05508387,0.0000296976,,2926656.7338,0.0001925147,1.426071959,0.0469734241
07-31-1976,3,384,0.07767703,0.0020008559,0.036808552,0.0015005495,0.0006662988,0.0000876819,0.0001179403,0.0017197594,0.1204967997,0.0120965712,0.0079963379,0.379564035,0.045546421,-0.061305954,0.0000277697,,2317976.0372,0.000273964,1.4425612138,0.0571849648
07-31-1976,4,469,0.0914342555,-0.000149641,0.0386350291,-0.021395393,0.0008670255,0.000094186,0.0001437482,0.0021348009,0.1161187743,0.0095450391,0.0060093086,0.2635459579,0.0338077111,-0.080966498,0.0000443023,,971104.93279,0.0003566225,1.5636569378,0.0678375368
07-31-1976,5,384,0.1744002714,-0.001123805,0.0839966661,0.0084354942,0.001056287,0.0000999388,0.0001547152,0.0031503176,0.0897047544,0.0160474517,0.0059779097,0.1011612939,0.0339899723,-0.051871564,0.0000573378,,439732.71213,0.0004677244,1.8693056139,0.0762338601
07-31-1976,6,384,0.2198869876,0.0010680104,0.0845339199,-0.11421117,0.0010684811,0.0001021023,0.0001586554,0.00352517,0.1168887805,0.0166157509,-0.000646683,-0.550913431,0.0402546479,-0.039575988,0.0000634671,,300088.52053,0.0006310108,1.6767064876,0.0708778111
07-31-1976,7,385,0.2452698726,0.0004484763,0.0991330126,-0.040293239,0.0011497771,0.0000675747,0.0001667292,0.0038873708,0.1134328787,0.0083285832,0.0075321676,-0.064973408,0.0245474831,-0.051813301,0.0000674067,,138404.78617,0.0008539475,2.1315729263,0.0732689498
07-31-1976,8,384,0.2562016152,-0.002601912,0.1204587607,-0.000380233,0.0012315311,0.0000643044,0.0001721405,0.0038631506,0.1068841695,0.0146467653,0.0026874662,-0.038350816,0.0232764922,-0.03379724,0.0001037142,,80248.211126,0.0012865832,1.9513439961,0.0674011025
