public_date,port_beta,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
01-31-2018,1,320,0.2226500275,-0.006791551,0.0029558085,-0.000404896,0.0004150514,0.0000287237,0.0000592896,0.00064991,0.1200757643,0.0009462105,0.0105367413,0.344166888,0.0317318309,0.0440479721,0.0000165188,0.0426757088,42182819.496,0.0003895727,-2.760181888,0.0259049555
01-31-2018,2,319,0.2910832535,0.0070348179,0.0300724058,-0.000194241,0.0004179625,0.0000302789,0.0000565867,0.0005042761,0.2304958867,0.0080205815,0.0022254142,0.4318204962,0.016980783,0.0316782567,0.0000105536,0.0400762713,242948161.46,0.0001973847,-1.8332321,0.0142172496
01-31-2018,3,319,0.2800360457,0.0033762073,0.0227932785,0.0000988654,0.0003551239,0.0000411021,0.0000662087,0.0004689224,0.113598099,-0.007848235,-0.001475538,0.5920114987,-0.006020253,0.0361116831,6.5397844E-6,0.0242092528,129591590.14,0.0002099439,-1.119932311,0.0283077106
01-31-2018,4,464,0.219277,-0.001494369,0.0034389397,-0.000244417,0.0003716314,0.0000334197,0.0000686562,0.0005505834,0.073877667,-0.003724556,0.0014001064,0.2961955424,0.0319221521,0.0313381876,0.0000132767,0.0322436349,68770204.782,0.0002546203,-0.568913524,0.0168448686
01-31-2018,5,320,0.3568622875,0.0048582245,0.050161903,0.0001970003,0.00023965,0.0000346483,0.000052865,0.0003639648,0.1163931904,-0.002197799,0.0003237702,0.5248654414,0.0961790593,0.0426549622,5.6770421E-6,0.0239917219,236319544.8,0.0001914082,-0.078239082,0.0115855683
01-31-2018,6,319,0.2831030148,0.0008765955,0.0265737107,0.0002898644,0.0003368464,0.0000402387,0.0000595205,0.0005217093,0.1374353296,-0.001358123,0.00641928,0.4125969687,0.0704247745,0.0209987749,0.0000108819,0.0195580855,277453410.47,0.0001633195,0.3240874592,0.0013874302
01-31-2018,7,319,0.2400845405,0.0012789204,0.0274152852,0.0001981803,0.0003368148,0.0000389706,0.0000679387,0.0004734468,0.0706596814,-0.002993538,-0.000340118,0.4035095021,0.0544789668,0.0084089704,0.0000130037,0.0153815924,132192782.56,0.0001817181,0.8731082765,0.0148648552
01-31-2018,8,320,0.1827506958,0.0012944541,0.0107912591,-0.000035342,0.0003468832,0.0000426518,0.0000685485,0.0005203038,0.0682578446,-0.009040904,-0.00273937,0.4596320059,0.0344683152,0.0020185841,0.0000143621,0.0203414014,144241875.75,0.000172527,1.5148016441,0.0096179062
01-31-2018,9,320,0.2548965014,0.0055580708,0.0329378785,4.7824166E-6,0.0006203312,0.0000315434,0.0000797658,0.0005270176,0.1177505462,0.0249244098,-0.000627906,0.221054218,0.0611081577,0.0114434322,0.0000222486,0.0177032047,20803798.21,0.0003238676,2.7322335282,-0.026131066
02-28-2018,0,319,0.5188625382,0.0099319008,0.0064661488,-0.000086219,0.0001965433,-0.000026168,-3.410036E-7,0.0003455227,0.432356027,0.081240656,0.0076481051,0.0551908678,-0.021872693,0.0645129284,0.000010028,0.0446569848,40172229.011,0.0010442943,-5.138054367,0.1575096134
02-28-2018,1,319,0.2812916992,0.0056527422,0.0206912144,-0.000090259,0.000256142,0.000024779,0.00004663,0.0005078994,0.3009643615,0.0073897586,0.0061902165,0.4916966404,0.0283898193,0.0363679654,0.0000101391,0.0430438098,281255276.45,0.0004159997,-2.415431524,0.1344575385
02-28-2018,2,319,0.2963279612,0.0034956606,0.0212230875,0.000821288,0.0004881758,0.0000379484,0.0000663682,0.00052803,0.1048745609,0.0051567316,-0.009747204,0.5887192028,-0.045404855,0.0678945979,0.0000125261,0.033844741,114985983.46,0.0003294301,-1.540807474,0.0697976201
02-28-2018,3,319,0.2257830872,0.002153308,0.0421721737,0.0005691753,0.0004110301,0.0000425552,0.0000708269,0.0005042814,0.1366089636,-0.002741589,0.0093017974,0.3617190638,0.0338478542,0.0405584888,7.0083619E-6,0.0240961658,112491806.34,0.0002946838,-0.881517542,0.0774099585
02-28-2018,4,457,0.2020267918,0.0016229896,-0.008081982,0.0001445238,0.0003567835,0.0000328841,0.0000627169,0.0005087601,0.080073125,-0.012419814,0.0014307019,0.3664767905,0.0497020867,0.0382296526,9.3677403E-6,0.0299537919,73701209.82,0.0002967256,-0.371845823,0.0661920957
02-28-2018,5,318,0.3050618123,0.0020629571,0.0425600099,0.0005027254,0.0002578342,0.0000414666,0.000063707,0.0004144281,0.1186180528,-0.011901115,0.0011434177,0.4892338757,0.0858654041,0.047714534,8.8888562E-6,0.0216151514,355641571.74,0.0002825951,0.0947852796,0.0486597517
02-28-2018,6,319,0.2497888159,0.0018996752,0.0313483472,0.0005503149,0.0003865393,0.0000355989,0.0000564823,0.0005682219,0.12756838,0.014469291,0.0108507584,0.4010179607,0.0715665403,0.0316609569,0.0000124683,0.0239136124,132460202.62,0.0002726415,0.4840636067,0.0614303043
02-28-2018,7,319,0.2508669405,0.0024834512,0.0234490689,0.0004402027,0.0003620311,0.0000403856,0.0000702602,0.0005221704,0.0797481263,-0.006345494,0.0007768416,0.4149655093,0.0505696305,0.034311766,0.0000124646,0.0143695567,100823061.54,0.0002982531,1.0109857668,0.0514526404
02-28-2018,8,319,0.1578976752,-0.003452629,0.0159361637,0.0002989689,0.00038649,0.0000469143,0.0000761518,0.0004650769,0.0632258754,-0.002479724,-0.003123982,0.4401365522,0.0375189572,0.0302288903,0.0000155163,0.0283161218,136232952.02,0.0002200264,1.6394420166,0.0134308577
