public_date,port_svar,_FREQ_,rank_mom12m_Mean,rank_hxz_abr_Mean,rank_hxz_sue_Mean,rank_hxz_re_Mean,rank_bm_Mean,rank_ep_Mean,rank_cfp_Mean,rank_sp_Mean,rank_agr_Mean,rank_ni_Mean,rank_acc_Mean,rank_op_Mean,rank_roe_Mean,rank_seas1a_Mean,rank_adm_Mean,rank_rdm_Mean,rank_me_Mean,rank_svar_Mean,rank_beta_Mean,rank_mom1m_Mean
06-30-1976,7,383,0.0600114273,0.0967731929,0.0935569993,-0.011037183,-0.229945404,-0.162310302,-0.071125172,-0.217238198,0.0948067602,0.1086480981,-0.023506604,0.0438836768,0.0737554436,0.0174933792,-0.188714968,0,0.4591656368,0.4829789039,0.2912097536,0.1063605525
06-30-1976,8,385,0.1318472479,0.0012439461,0.1353980224,0.0028231221,-0.11213525,-0.213420854,-0.040567466,-0.037249398,0.0362564167,-0.03332061,0.045601816,-0.039000088,-0.074393213,0.0546117127,-0.029443553,0,0.2544003227,0.6873542375,0.1381296264,0.0339304405
06-30-1976,9,384,-0.036006876,-0.082303773,0.0215483902,0,0.0793761002,-0.157505375,-0.058723803,0.1446909832,-0.11163184,-0.060180815,0.014280606,-0.054573245,-0.218910677,0.0430933758,0.0294617501,0,-0.066878956,0.8824284708,0.1325686834,-0.136839367
07-31-1976,0,385,0.0201222429,-0.087852218,-0.123140857,0.0206512625,-0.505679599,-0.263348733,-0.095029884,-0.601542993,0.2095019496,0.3289296038,-0.00264489,0.1869931793,0.2747347341,-0.224957249,-0.049388554,0,0.9366169309,-0.867718086,0.0599598731,0.2169035652
07-31-1976,1,384,-0.047714435,0.0004850903,0.0310080135,0.0114412572,-0.44020628,-0.212440072,-0.011324555,-0.42595927,0.1642318829,0.2044195653,0.0237528484,0.2172726996,0.2482084826,-0.173244734,-0.052125943,0,0.9247472478,-0.707939114,0.110435767,0.0666756609
07-31-1976,2,385,-0.111268851,-0.023869194,-0.053022695,-0.001191393,-0.538543887,-0.319405016,-0.278971893,-0.53698237,0.1916196949,0.2447199221,0.0026386038,0.1466892443,0.2272693214,-0.217384198,-0.207828182,0,0.8753134545,-0.515802707,0.1071676952,0.1597007555
07-31-1976,3,384,-0.168447789,0.0833878066,-0.006378712,0.0031708018,-0.579791917,-0.307169467,-0.257169964,-0.513450843,0.2119512763,0.2047621742,0.1011338352,0.2709367711,0.4091547317,-0.241071875,-0.223704248,0,0.8519299381,-0.301258883,0.1015682949,0.2219147954
07-31-1976,4,469,-0.156473157,-0.019480356,-0.081259888,-0.005040203,-0.378982257,-0.210294561,-0.098000754,-0.342794626,0.1027182415,0.1054341881,0.0104035124,0.1445653806,0.1026931853,-0.362711538,-0.083145902,0,0.766690166,-0.104750273,0.1503513194,0.3057620633
07-31-1976,5,384,-0.054337587,-0.074412904,-0.002585145,0.012206041,-0.213788669,-0.117579048,-0.06729026,-0.207023873,0.0478954907,0.156248337,0.0073732665,0.0196144962,0.0857426236,-0.193981289,-0.043075912,0,0.6546518068,0.0878957132,0.2335083824,0.319117241
07-31-1976,6,384,0.0208323114,0.0278704874,0.0771851854,-0.00271203,-0.22743844,-0.115613892,-0.062529335,-0.145334281,0.0591539922,0.0373023241,-0.082490202,-0.035434488,0.1805723058,-0.124695526,-0.088591811,0,0.560831726,0.2977609738,0.1506806997,0.2342293139
07-31-1976,7,385,0.0377919801,-0.020948887,0.0989834808,-0.010482528,-0.15777825,-0.173770167,-0.049226945,-0.082108142,-0.013581864,0.0468693543,0.0426278057,0.0047518303,0.013361461,-0.18983887,-0.069435651,0,0.4093143917,0.4967164818,0.2421464826,0.2300988372
07-31-1976,8,384,0.011253161,-0.092243402,0.0319840473,0.0034360373,-0.105209553,-0.130991374,-0.013159906,-0.079208007,0.0524498471,-0.000298898,-0.009749879,0.030472644,-0.074843557,-0.135114578,-0.032986076,0,0.2132298269,0.6940499402,0.2295071352,0.1132434386
07-31-1976,9,385,-0.051011715,-0.008248385,0.0112263158,0,0.0077691102,-0.169243668,-0.109458778,0.1112250184,-0.094546966,-0.076647253,-0.041247708,-0.027353751,-0.17437826,-0.014054556,-0.00011588,0,-0.115771109,0.8832011264,0.0763724952,0.0468086843
08-31-1976,0,385,0.1355010977,-0.083710293,-0.12154636,0.059354962,-0.476016439,-0.26603128,-0.08611608,-0.613456945,0.2064493085,0.3077121457,-0.016628808,0.1984475289,0.2981068544,0.2621652136,-0.043909971,0,0.9378888265,-0.887617969,0.056855916,0.1019362092
08-31-1976,1,384,-0.021622894,0.0165993206,-0.0716156,0.0154207955,-0.487885867,-0.270056942,-0.126705539,-0.522673162,0.1164895215,0.2738633844,-0.046342099,0.1868439416,0.179285834,0.3715909958,-0.125006388,0,0.9175251601,-0.694048291,0.0903212018,-0.067756833
08-31-1976,2,384,0.0997164379,0.0780322402,0.082437272,0.0008966473,-0.497494416,-0.273633548,-0.124802286,-0.408774688,0.2377209708,0.1853369086,0.09331952,0.2296740382,0.3009477233,0.2521067968,-0.111043263,0,0.8878215936,-0.516427258,0.1810097715,0.0214440903
08-31-1976,3,384,0.0083738165,-0.001340282,-0.017504454,0.0022525961,-0.530153986,-0.28886645,-0.233087112,-0.471214513,0.113387631,0.1668203642,0.0790082385,0.1970206532,0.3369708964,0.1824467807,-0.198078095,0,0.8384581497,-0.316758694,0.1035644315,-0.022643221
08-31-1976,4,469,0.0005833734,0.1169165548,-0.055965064,-0.000261387,-0.442571363,-0.249921816,-0.190034419,-0.39409636,0.1909713259,0.1703547903,0.0442995715,0.1804739139,0.1680765523,0.214739639,-0.174335253,0,0.785991527,-0.122071,0.1734136203,-0.074089159
