public_date,port_me,_FREQ_,rank_mom12m_Mean,rank_hxz_abr_Mean,rank_hxz_sue_Mean,rank_hxz_re_Mean,rank_bm_Mean,rank_ep_Mean,rank_cfp_Mean,rank_sp_Mean,rank_agr_Mean,rank_ni_Mean,rank_acc_Mean,rank_op_Mean,rank_roe_Mean,rank_seas1a_Mean,rank_adm_Mean,rank_rdm_Mean,rank_me_Mean,rank_svar_Mean,rank_beta_Mean,rank_mom1m_Mean
04-30-1976,9,390,-0.179308467,-0.034307333,-0.073220556,0,-0.526865951,-0.270388663,-0.047642235,-0.544395474,0.2323147639,0.2968766853,0.0368828526,0.1920318608,0.2710494472,0.1491704683,-0.137208374,0,0.9554817462,-0.681450463,0.1106793245,0.2079973726
05-31-1976,0,389,-0.193798215,-0.023366411,-0.02116722,0,0.0949007372,-0.084962414,-0.037279911,0.098293071,-0.053819374,-0.051898147,-0.0323267,-0.040527721,-0.072836713,-0.10960257,0.098965967,0,-0.879371245,0.3819447222,-0.059904734,-0.046159381
05-31-1976,1,389,-0.008810504,0.0374968498,0.0591369416,0,0.1528663652,-0.049747738,-0.011014459,0.1532194587,-0.082300308,-0.102795829,-0.04857163,-0.035941233,-0.092366943,-0.072611038,0.053277181,0,-0.689304913,0.3270213845,-0.024244374,-0.05377864
05-31-1976,2,389,0.0341552671,-0.017897278,0.0425820741,0,0.1746531317,-0.008948368,0.0095436428,0.1870978313,-0.089991815,-0.143375954,-0.038572246,-0.060155721,-0.113424139,-0.072842415,0.03099124,0,-0.491615571,0.2350654808,-0.054280351,-0.051401002
05-31-1976,3,389,0.1185497111,0.0030880325,0.0606404194,0,0.1330901755,0.0763973617,0.0281969033,0.1865193056,-0.079124895,-0.115485195,0.0088055479,-0.036898319,-0.022718154,0.0514240757,0.0276987471,0,-0.291953006,0.1653782052,-0.069388611,-0.017014874
05-31-1976,4,389,0.0905452721,-0.003791004,0.0081774102,0,0.1035716343,0.0308434589,0.0159778846,0.1446979318,-0.068991957,-0.128604129,-0.013051636,-0.02579864,-0.02846629,0.0024637094,0.0038241835,0,-0.091790462,0.0549664302,0.0065256608,-0.007927836
05-31-1976,5,388,0.0848279288,-0.013869217,-0.006473358,0,0.0468215335,0.0356125624,0.0302228304,0.1017185791,-0.033030934,-0.029621557,0.022165509,-0.019802271,-0.038659927,0.0518939223,-0.007027025,0,0.1091959358,-0.018634959,0.0541130846,-0.011941257
05-31-1976,6,389,0.0404543524,-0.005101193,-0.015980673,-0.003803862,0.004917848,0.0801615667,0.0192097106,-0.031391712,0.0165575782,-0.018854563,0.0425186476,0.028846382,0.0134515882,0.0564270669,-0.051468225,0,0.3090894397,-0.132179088,0.0394243774,0.003917709
05-31-1976,7,389,-0.003504434,-0.006548027,-0.034063213,0.0017141763,-0.088175162,0.0436630088,-0.002039554,-0.132087332,0.0612902987,0.0698243721,0.0022389039,0.0299647855,0.0368482508,0.0424836301,-0.021871758,0,0.5122964641,-0.203357489,0.0771563341,0.0971083357
05-31-1976,8,389,-0.069139475,0.0090555962,-0.047605902,0.0028743092,-0.239095448,0.0160408527,0.0015270317,-0.296445711,0.1569082593,0.2220344944,0.035884626,0.0550163242,0.1250580869,0.0360631213,-0.062374451,0,0.717147317,-0.354493478,0.0391162366,0.0309886442
05-31-1976,9,389,-0.179974654,-0.014157295,-0.066820683,0.0101379353,-0.538946765,-0.288344242,-0.056814628,-0.550385296,0.2434069181,0.3315095555,0.0205831653,0.1991445457,0.2746873767,0.009660335,-0.139566261,0,0.9554234084,-0.637421087,0.1295564036,0.0818603661
06-30-1976,0,393,-0.152365409,-0.032423909,-0.003207307,0,0.1176981831,-0.089274411,-0.05719487,0.1215770069,-0.049123063,-0.075052723,-0.029587204,-0.054832885,-0.110742453,-0.101300427,0.103834384,0,-0.879572655,0.3547452512,-0.084199163,-0.126254793
06-30-1976,1,393,-0.008224219,0.0164456122,0.0343728252,0,0.1508829669,-0.024509537,0.0196504924,0.1432715887,-0.037848356,-0.090023627,0.0003708657,-0.042449996,-0.113122354,-0.064356693,0.0424041524,0,-0.689682532,0.2828987805,-0.033979276,-0.086472036
06-30-1976,2,393,0.0661723663,-0.009523353,0.0285445448,0,0.1684781009,0.0004726558,-0.005346038,0.1891968998,-0.058936959,-0.122734407,-0.036033783,-0.04275657,-0.113996317,-0.007441337,0.0061377127,0,-0.491367659,0.1968753016,-0.056885636,-0.062566124
06-30-1976,3,393,0.0522424028,-0.001555896,0.042722288,0,0.1342191387,0.0911619091,0.0388454344,0.1790994477,-0.027853727,-0.104772903,-0.002810719,-0.040745693,-0.083781783,-0.012162701,0.0421047778,0,-0.29194088,0.1437282193,-0.06064971,-0.079358339
06-30-1976,4,393,0.0839266061,0.0005838114,0.0345815104,0,0.1207850833,0.0650918676,0.0109108722,0.1633563301,-0.06361386,-0.072745377,-0.001475869,-0.028303188,-0.047877304,0.0559431192,0.0087625623,0,-0.092099273,0.0686538097,-0.012928778,-0.069171186
06-30-1976,5,393,0.0650246887,-0.000021249,0.0404259715,0.001460039,0.0276851193,0.0257822047,0.0432871255,0.0932624378,-0.002296587,-0.026692348,0.0091409316,-0.036475878,-0.008081407,0.0477704682,-0.010705593,0,0.1091989637,-0.015911326,0.0526828319,0.0516202288
06-30-1976,6,393,0.0329713277,-0.019239263,-0.004548669,-0.001216719,0.0155669092,0.0800871296,0.0215844486,-0.022052276,-0.010100655,-0.015546263,0.0214872912,0.0247898682,0.0200357263,0.0049454082,-0.042555402,0,0.3089346728,-0.097881671,0.050100826,0.0952302055
06-30-1976,7,393,-0.007379524,0.0012496969,-0.038955553,0.0003994188,-0.082689586,0.0604888714,0.0273239359,-0.131126939,0.0359310366,0.0689597351,0.0068151532,0.0512591756,0.0763201895,0.0031449558,-0.024061312,0,0.5127377939,-0.183046608,0.060332693,0.0736660483
06-30-1976,8,393,-0.057582806,0.0051879627,-0.063224756,-0.008428067,-0.250798248,-0.031866265,-0.000277969,-0.308557351,0.0896751964,0.1763489863,0.0169696931,0.0705377843,0.1772164989,0.0153093302,-0.054135669,0,0.7175290092,-0.316213398,0.0504065703,0.0686589503
06-30-1976,9,393,-0.146267664,-0.039852208,-0.023257092,0.0506092018,-0.547097298,-0.304741796,-0.14299313,-0.549224727,0.1935024835,0.266781651,0.0164551981,0.2146834907,0.2982896476,-0.023828691,-0.120084705,0,0.955121006,-0.616658694,0.1336716676,0.1730762214
07-31-1976,0,393,-0.169028397,-0.041701115,0.011337738,0,0.1099179135,-0.081708839,-0.051824691,0.1218482819,-0.051376697,-0.08046208,-0.023738056,-0.053867799,-0.111345878,0.1161521753,0.1241556724,0,-0.87950114,0.3629040267,-0.06035417,-0.22492967
07-31-1976,1,393,-0.001856831,0.0082334878,0.0128470646,0,0.1519100278,-0.022428507,0.0243762111,0.1486945757,-0.047149345,-0.103089169,-0.015034498,-0.0400061,-0.108745141,0.1245212067,0.0314307297,0,-0.689482512,0.2611438397,-0.03303395,-0.19873209
07-31-1976,2,393,0.0485671691,-0.013110181,0.0327562864,0,0.1618161824,0.0258283314,0.0128903214,0.1818749075,-0.061808829,-0.111870898,-0.03258407,-0.045150944,-0.088416144,0.1193687451,0.0072338975,0,-0.491483333,0.2096471063,-0.040193602,-0.144628919
07-31-1976,3,393,0.0355273569,0.0202278319,0.0422310633,0,0.1385706135,0.0911228702,0.0410057321,0.184675568,-0.037863455,-0.115988216,-0.001976298,-0.021496696,-0.08271899,0.1358128397,0.0338404068,0,-0.291942965,0.1506370875,-0.077320792,-0.024614346
07-31-1976,4,393,0.0490703687,-0.041036954,0.0478253965,0,0.1326864331,0.0602617127,0.0100341855,0.1711235353,-0.050899528,-0.054315286,-0.007934938,-0.042717305,-0.057087416,0.0353824977,0.0178799969,0,-0.091589842,0.0971932669,-0.00234849,-0.039174788
07-31-1976,5,392,0.0707748471,0.0181028433,0.0293814846,0,0.030078656,0.0155240363,0.0449491339,0.0869971913,-0.00497089,-0.002958461,0.0103548795,-0.023331507,-0.027409325,-0.011299291,-0.015288354,0,0.10941263,-0.026813325,0.043115004,0.0016561332
